Query,Last 28 days (2020) Clicks,Last 28 days (2019) Clicks,Last 28 days (2020) Impressions,Last 28 days (2019) Impressions,Last 28 days (2020) CTR,Last 28 days (2019) CTR,Last 28 days (2020) Position,Last 28 days (2019) Position
adviso,769,843,2390,2531,32.18%,33.31%,2.42,1.46
torrent411,54,4,6421,582,0.84%,0.69%,7.48,10.6
adviso montreal,50,42,104,95,48.08%,44.21%,1.85,1
advisio,37,33,57,109,64.91%,30.28%,5.79,9.5
objective strategy tactics,36,43,195,197,18.46%,21.83%,1.13,1
cookie apocalypse,30,0,329,0,9.12%,0%,7.63,0
torrent 411,29,0,1514,420,1.92%,0%,10.36,29.13
objectif tactique,29,21,65,34,44.62%,61.76%,1.78,1
strategy vs objective,28,28,314,263,8.92%,10.65%,1.67,2.56
is mass marketing dead,26,13,150,80,17.33%,16.25%,1,1.12
facebook ads language targeting,26,27,119,77,21.85%,35.06%,3.1,1.49
content brief,25,36,510,229,4.9%,15.72%,5.46,2.1
kpi notoriété,24,39,73,71,32.88%,54.93%,1.78,1.03
insight traduction,22,26,3951,4223,0.56%,0.62%,10,8.09
rich snippets,22,191,3263,2153,0.67%,8.87%,24.35,29.15
objectives strategies tactics,21,15,107,79,19.63%,18.99%,1.08,1.03
objective vs strategy,20,10,166,163,12.05%,6.13%,1.74,2.44
goals objectives strategies tactics,19,10,195,137,9.74%,7.3%,1.1,3.76
goal strategy objective tactic examples,19,12,159,106,11.95%,11.32%,1.65,3.43
sem ad copy,19,8,56,32,33.93%,25%,1.05,1
rich snippet,18,251,1274,1067,1.41%,23.52%,19.64,13.67
programmatique,18,24,470,383,3.83%,6.27%,11.87,8.96
facebook language targeting,17,32,60,66,28.33%,48.48%,2.2,1
appelez nous,16,4,669,411,2.39%,0.97%,3.09,8.58
achat programmatique,16,12,186,181,8.6%,6.63%,2.3,2.76
goal objective strategy tactic,16,14,132,79,12.12%,17.72%,3.05,2.15
format infographie,16,22,80,60,20%,36.67%,1.11,1.65
objectives vs strategies,15,5,94,79,15.96%,6.33%,3.34,3.97
content brief template,14,57,239,187,5.86%,30.48%,5.58,1.37
actionable insights,13,0,2405,0,0.54%,0%,10.25,0
algorithme tinder,13,136,925,621,1.41%,21.9%,1.36,3.38
one pager,13,38,458,514,2.84%,7.39%,6.71,6.69
gestion des médias sociaux gratuit 2019,13,0,175,0,7.43%,0%,5.15,0
ergonomic website,12,7,89,50,13.48%,14%,2.22,1.6
amazon chiffres,11,0,61,0,18.03%,0%,2.49,0
what is a content brief,11,2,43,26,25.58%,7.69%,1.47,3.96
créer plusieurs pages facebook,11,5,36,22,30.56%,22.73%,2.58,2.23
objectif stratégique tactique opérationnel,11,14,34,41,32.35%,34.15%,1.82,1
traduction insight,10,11,432,463,2.31%,2.38%,8.23,7.64
ecommerce department,10,6,72,50,13.89%,12%,2.82,3.56
how to measure reputation,10,11,61,75,16.39%,14.67%,4.84,2.28
quebectorrent,10,14,33,76,30.3%,18.42%,1.97,2.97
objectives strategies tactics examples,10,0,26,0,38.46%,0%,1,0
goals strategies tactics,9,11,139,115,6.47%,9.57%,3.15,3.83
objectives and strategies,9,9,109,131,8.26%,6.87%,3.35,2.83
goal strategy objective tactic,9,7,62,76,14.52%,9.21%,3.06,2.92
safari in app,9,5,46,41,19.57%,12.2%,29.09,21.17
adviso conseil,9,6,45,44,20%,13.64%,2.47,1.23
language targeting facebook,9,15,42,32,21.43%,46.88%,2.24,1
strategy versus objective,9,10,39,34,23.08%,29.41%,3.28,3.06
pourquoi faire un benchmark,9,12,34,33,26.47%,36.36%,2.65,1
how does culture affect project management,9,11,28,39,32.14%,28.21%,1,1
utm internal links,9,7,22,17,40.91%,41.18%,1.64,1
utm_campaign,8,3,2850,1566,0.28%,0.19%,10.77,9.01
sem ads,8,9,645,327,1.24%,2.75%,7.32,3.87
marketing de masse,8,8,518,400,1.54%,2%,6.08,4.22
snippet seo,8,4,130,32,6.15%,12.5%,26.9,14.44
game changer définition,8,2,57,19,14.04%,10.53%,4.89,4.89
bouton de partage,8,2,49,44,16.33%,4.55%,1.08,1.91
sem copy,8,15,41,27,19.51%,55.56%,1.1,1.11
chiffres amazon,8,1,35,3,22.86%,33.33%,2.6,17
insights traduction,7,8,1292,852,0.54%,0.94%,10.06,8.5
profitabilité et rentabilité,7,9,222,100,3.15%,9%,7.47,4.67
goals objectives strategies,7,8,192,175,3.65%,4.57%,1.07,3.35
guide de style,7,9,139,146,5.04%,6.16%,4.61,11.47
application concours facebook,7,1,123,130,5.69%,0.77%,6.45,3.68
difference between strategy and objective,7,3,113,105,6.19%,2.86%,3.51,4.23
safari (in-app),7,4,54,26,12.96%,15.38%,46.19,17.19
one pager definition,7,1,51,21,13.73%,4.76%,4.16,12.86
"describe how organizational culture is related to project management. what 
type of culture promotes a strong project environment?",7,0,45,0,15.56%,0%,3.4,0
organizational culture and project management,7,7,30,25,23.33%,28%,5.53,3.64
strategy vs. objective,7,2,24,26,29.17%,7.69%,1.71,3.46
adviso conseil inc,7,8,24,25,29.17%,32%,1.83,1
amazon en chiffres,7,0,22,0,31.82%,0%,2.77,0
stratégie de contenu,6,2,1149,609,0.52%,0.33%,24.58,15.83
taux de rebond google analytics,6,3,562,288,1.07%,1.04%,7.03,8.59
managing stakeholders,6,18,440,498,1.36%,3.61%,8.29,4.31
bonheur au travail,6,0,309,0,1.94%,0%,45.3,0
appelez-nous,6,0,192,0,3.12%,0%,2.88,0
difference between objective and strategy,6,19,158,146,3.8%,13.01%,4.39,4.65
turning data into actionable insights,6,0,156,0,3.85%,0%,5.03,0
gestion des parties prenantes,6,7,82,69,7.32%,10.14%,2.85,4.68
